@relation waveform

@attribute x1 {'\'All\''}
@attribute x2 {'\'(-inf--0.435]\'','\'(-0.435-0.515]\'','\'(0.515-inf)\''}
@attribute x3 {'\'(-inf--0.695]\'','\'(-0.695-0.525]\'','\'(0.525-1.165]\'','\'(1.165-2.075]\'','\'(2.075-inf)\''}
@attribute x4 {'\'(-inf--0.705]\'','\'(-0.705-0.395]\'','\'(0.395-1.315]\'','\'(1.315-2.165]\'','\'(2.165-inf)\''}
@attribute x5 {'\'(-inf--0.135]\'','\'(-0.135-0.745]\'','\'(0.745-1.465]\'','\'(1.465-2.225]\'','\'(2.225-2.825]\'','\'(2.825-inf)\''}
@attribute x6 {'\'(-inf-0.195]\'','\'(0.195-0.885]\'','\'(0.885-1.145]\'','\'(1.145-1.935]\'','\'(1.935-2.735]\'','\'(2.735-4.075]\'','\'(4.075-inf)\''}
@attribute x7 {'\'(-inf-0.145]\'','\'(0.145-1.305]\'','\'(1.305-2.055]\'','\'(2.055-2.485]\'','\'(2.485-3.115]\'','\'(3.115-3.805]\'','\'(3.805-inf)\''}
@attribute x8 {'\'(-inf-1.155]\'','\'(1.155-1.665]\'','\'(1.665-2.365]\'','\'(2.365-2.785]\'','\'(2.785-3.285]\'','\'(3.285-4.015]\'','\'(4.015-4.705]\'','\'(4.705-inf)\''}
@attribute x9 {'\'(-inf-1.375]\'','\'(1.375-1.965]\'','\'(1.965-2.525]\'','\'(2.525-3.485]\'','\'(3.485-3.825]\'','\'(3.825-4.585]\'','\'(4.585-inf)\''}
@attribute x10 {'\'(-inf-0.945]\'','\'(0.945-2.005]\'','\'(2.005-2.965]\'','\'(2.965-3.675]\'','\'(3.675-4.915]\'','\'(4.915-inf)\''}
@attribute x11 {'\'(-inf-2.015]\'','\'(2.015-2.675]\'','\'(2.675-3.225]\'','\'(3.225-3.985]\'','\'(3.985-4.515]\'','\'(4.515-inf)\''}
@attribute x12 {'\'(-inf-1.215]\'','\'(1.215-2.245]\'','\'(2.245-2.855]\'','\'(2.855-3.285]\'','\'(3.285-3.975]\'','\'(3.975-4.685]\'','\'(4.685-inf)\''}
@attribute x13 {'\'(-inf-0.745]\'','\'(0.745-1.755]\'','\'(1.755-2.115]\'','\'(2.115-2.605]\'','\'(2.605-2.895]\'','\'(2.895-3.715]\'','\'(3.715-5.355]\'','\'(5.355-inf)\''}
@attribute x14 {'\'(-inf-1.515]\'','\'(1.515-2.575]\'','\'(2.575-3.185]\'','\'(3.185-3.765]\'','\'(3.765-4.365]\'','\'(4.365-inf)\''}
@attribute x15 {'\'(-inf-0.225]\'','\'(0.225-1.095]\'','\'(1.095-2.025]\'','\'(2.025-2.435]\'','\'(2.435-3.005]\'','\'(3.005-3.915]\'','\'(3.915-4.295]\'','\'(4.295-inf)\''}
@attribute x16 {'\'(-inf--0.085]\'','\'(-0.085-0.605]\'','\'(0.605-1.225]\'','\'(1.225-1.835]\'','\'(1.835-2.695]\'','\'(2.695-3.415]\'','\'(3.415-inf)\''}
@attribute x17 {'\'(-inf--0.335]\'','\'(-0.335-0.505]\'','\'(0.505-1.245]\'','\'(1.245-1.815]\'','\'(1.815-2.485]\'','\'(2.485-inf)\''}
@attribute x18 {'\'(-inf--0.645]\'','\'(-0.645-0.105]\'','\'(0.105-1.025]\'','\'(1.025-1.455]\'','\'(1.455-2.115]\'','\'(2.115-2.815]\'','\'(2.815-inf)\''}
@attribute x19 {'\'(-inf--1.015]\'','\'(-1.015-0.005]\'','\'(0.005-0.925]\'','\'(0.925-1.835]\'','\'(1.835-inf)\''}
@attribute x20 {'\'(-inf--1.365]\'','\'(-1.365-0.325]\'','\'(0.325-1.125]\'','\'(1.125-2.83]\'','\'(2.83-inf)\''}
@attribute x21 {'\'All\''}
@attribute x22 {'\'All\''}
@attribute x23 {'\'All\''}
@attribute x24 {'\'All\''}
@attribute x25 {'\'All\''}
@attribute x26 {'\'All\''}
@attribute x27 {'\'All\''}
@attribute x28 {'\'All\''}
@attribute x29 {'\'All\''}
@attribute x30 {'\'All\''}
@attribute x31 {'\'All\''}
@attribute x32 {'\'All\''}
@attribute x33 {'\'All\''}
@attribute x34 {'\'All\''}
@attribute x35 {'\'All\''}
@attribute x36 {'\'All\''}
@attribute x37 {'\'All\''}
@attribute x38 {'\'All\''}
@attribute x39 {'\'All\''}
@attribute x40 {'\'All\''}
@attribute class {0,1,2}

@data
'\'All\'','\'(-inf--0.435]\'','\'(0.525-1.165]\'','\'(-0.705-0.395]\'','\'(1.465-2.225]\'','\'(2.735-4.075]\'','\'(2.055-2.485]\'','\'(4.705-inf)\'','\'(4.585-inf)\'','\'(2.965-3.675]\'','\'(2.015-2.675]\'','\'(2.245-2.855]\'','\'(0.745-1.755]\'','\'(-inf-1.515]\'','\'(0.225-1.095]\'','\'(-0.085-0.605]\'','\'(-inf--0.335]\'','\'(-0.645-0.105]\'','\'(0.925-1.835]\'','\'(-1.365-0.325]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'(-inf--0.435]\'','\'(-0.695-0.525]\'','\'(-0.705-0.395]\'','\'(1.465-2.225]\'','\'(-inf-0.195]\'','\'(2.055-2.485]\'','\'(-inf-1.155]\'','\'(1.965-2.525]\'','\'(2.005-2.965]\'','\'(4.515-inf)\'','\'(3.285-3.975]\'','\'(3.715-5.355]\'','\'(3.185-3.765]\'','\'(4.295-inf)\'','\'(2.695-3.415]\'','\'(2.485-inf)\'','\'(1.025-1.455]\'','\'(1.835-inf)\'','\'(0.325-1.125]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(-inf--0.435]\'','\'(0.525-1.165]\'','\'(-0.705-0.395]\'','\'(-0.135-0.745]\'','\'(-inf-0.195]\'','\'(0.145-1.305]\'','\'(1.155-1.665]\'','\'(1.375-1.965]\'','\'(3.675-4.915]\'','\'(4.515-inf)\'','\'(4.685-inf)\'','\'(5.355-inf)\'','\'(4.365-inf)\'','\'(2.435-3.005]\'','\'(0.605-1.225]\'','\'(-inf--0.335]\'','\'(0.105-1.025]\'','\'(0.005-0.925]\'','\'(-1.365-0.325]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(-inf--0.435]\'','\'(-0.695-0.525]\'','\'(0.395-1.315]\'','\'(-inf--0.135]\'','\'(0.195-0.885]\'','\'(0.145-1.305]\'','\'(2.785-3.285]\'','\'(3.485-3.825]\'','\'(2.965-3.675]\'','\'(4.515-inf)\'','\'(4.685-inf)\'','\'(5.355-inf)\'','\'(3.185-3.765]\'','\'(1.095-2.025]\'','\'(2.695-3.415]\'','\'(-0.335-0.505]\'','\'(1.025-1.455]\'','\'(-inf--1.015]\'','\'(-1.365-0.325]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(0.515-inf)\'','\'(-0.695-0.525]\'','\'(-0.705-0.395]\'','\'(-0.135-0.745]\'','\'(-inf-0.195]\'','\'(-inf-0.145]\'','\'(-inf-1.155]\'','\'(-inf-1.375]\'','\'(2.005-2.965]\'','\'(3.225-3.985]\'','\'(3.285-3.975]\'','\'(3.715-5.355]\'','\'(3.765-4.365]\'','\'(3.915-4.295]\'','\'(3.415-inf)\'','\'(2.485-inf)\'','\'(1.455-2.115]\'','\'(1.835-inf)\'','\'(0.325-1.125]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(-0.435-0.515]\'','\'(-0.695-0.525]\'','\'(1.315-2.165]\'','\'(-inf--0.135]\'','\'(0.195-0.885]\'','\'(2.055-2.485]\'','\'(1.665-2.365]\'','\'(1.965-2.525]\'','\'(2.965-3.675]\'','\'(3.985-4.515]\'','\'(4.685-inf)\'','\'(3.715-5.355]\'','\'(1.515-2.575]\'','\'(4.295-inf)\'','\'(1.835-2.695]\'','\'(1.815-2.485]\'','\'(1.025-1.455]\'','\'(-1.015-0.005]\'','\'(0.325-1.125]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(0.515-inf)\'','\'(-inf--0.695]\'','\'(-0.705-0.395]\'','\'(-0.135-0.745]\'','\'(0.195-0.885]\'','\'(0.145-1.305]\'','\'(1.665-2.365]\'','\'(1.375-1.965]\'','\'(2.005-2.965]\'','\'(4.515-inf)\'','\'(4.685-inf)\'','\'(3.715-5.355]\'','\'(3.185-3.765]\'','\'(3.005-3.915]\'','\'(1.835-2.695]\'','\'(1.245-1.815]\'','\'(2.115-2.815]\'','\'(1.835-inf)\'','\'(-1.365-0.325]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(-inf--0.435]\'','\'(-inf--0.695]\'','\'(0.395-1.315]\'','\'(-inf--0.135]\'','\'(-inf-0.195]\'','\'(0.145-1.305]\'','\'(1.155-1.665]\'','\'(1.375-1.965]\'','\'(2.965-3.675]\'','\'(4.515-inf)\'','\'(3.285-3.975]\'','\'(2.115-2.605]\'','\'(4.365-inf)\'','\'(4.295-inf)\'','\'(2.695-3.415]\'','\'(2.485-inf)\'','\'(1.455-2.115]\'','\'(1.835-inf)\'','\'(1.125-2.83]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(0.515-inf)\'','\'(1.165-2.075]\'','\'(1.315-2.165]\'','\'(2.225-2.825]\'','\'(2.735-4.075]\'','\'(3.115-3.805]\'','\'(4.705-inf)\'','\'(3.825-4.585]\'','\'(2.965-3.675]\'','\'(4.515-inf)\'','\'(2.855-3.285]\'','\'(0.745-1.755]\'','\'(-inf-1.515]\'','\'(0.225-1.095]\'','\'(1.835-2.695]\'','\'(-inf--0.335]\'','\'(1.455-2.115]\'','\'(0.005-0.925]\'','\'(-inf--1.365]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'(0.515-inf)\'','\'(-0.695-0.525]\'','\'(0.395-1.315]\'','\'(1.465-2.225]\'','\'(1.145-1.935]\'','\'(1.305-2.055]\'','\'(1.665-2.365]\'','\'(2.525-3.485]\'','\'(2.005-2.965]\'','\'(-inf-2.015]\'','\'(2.855-3.285]\'','\'(2.895-3.715]\'','\'(3.185-3.765]\'','\'(4.295-inf)\'','\'(2.695-3.415]\'','\'(1.245-1.815]\'','\'(1.455-2.115]\'','\'(0.005-0.925]\'','\'(1.125-2.83]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'(-inf--0.435]\'','\'(-inf--0.695]\'','\'(2.165-inf)\'','\'(-0.135-0.745]\'','\'(1.935-2.735]\'','\'(0.145-1.305]\'','\'(1.155-1.665]\'','\'(1.965-2.525]\'','\'(4.915-inf)\'','\'(4.515-inf)\'','\'(4.685-inf)\'','\'(2.895-3.715]\'','\'(3.185-3.765]\'','\'(1.095-2.025]\'','\'(-0.085-0.605]\'','\'(-inf--0.335]\'','\'(1.025-1.455]\'','\'(-inf--1.015]\'','\'(1.125-2.83]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
'\'All\'','\'(-0.435-0.515]\'','\'(-0.695-0.525]\'','\'(0.395-1.315]\'','\'(2.225-2.825]\'','\'(1.935-2.735]\'','\'(2.485-3.115]\'','\'(-inf-1.155]\'','\'(1.375-1.965]\'','\'(0.945-2.005]\'','\'(-inf-2.015]\'','\'(1.215-2.245]\'','\'(2.605-2.895]\'','\'(3.185-3.765]\'','\'(4.295-inf)\'','\'(1.835-2.695]\'','\'(1.245-1.815]\'','\'(0.105-1.025]\'','\'(0.005-0.925]\'','\'(-1.365-0.325]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'(0.515-inf)\'','\'(-0.695-0.525]\'','\'(2.165-inf)\'','\'(2.825-inf)\'','\'(1.935-2.735]\'','\'(3.805-inf)\'','\'(4.015-4.705]\'','\'(2.525-3.485]\'','\'(2.005-2.965]\'','\'(-inf-2.015]\'','\'(1.215-2.245]\'','\'(0.745-1.755]\'','\'(1.515-2.575]\'','\'(1.095-2.025]\'','\'(1.225-1.835]\'','\'(0.505-1.245]\'','\'(1.455-2.115]\'','\'(0.005-0.925]\'','\'(-inf--1.365]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'(0.515-inf)\'','\'(1.165-2.075]\'','\'(0.395-1.315]\'','\'(-inf--0.135]\'','\'(-inf-0.195]\'','\'(0.145-1.305]\'','\'(1.665-2.365]\'','\'(2.525-3.485]\'','\'(0.945-2.005]\'','\'(4.515-inf)\'','\'(4.685-inf)\'','\'(5.355-inf)\'','\'(4.365-inf)\'','\'(4.295-inf)\'','\'(2.695-3.415]\'','\'(2.485-inf)\'','\'(2.115-2.815]\'','\'(-1.015-0.005]\'','\'(1.125-2.83]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',2
